id	prompt	score
fr_020001	2	0
fr_020002	2	3
fr_020003	2	0
fr_020004	2	2
fr_020005	2	2
fr_020006	2	0
fr_020007	2	3
fr_020008	2	3
fr_020009	2	3
fr_020010	2	0
fr_020011	2	0
fr_020012	2	0
fr_020013	2	3
fr_020014	2	1
fr_020015	2	1
fr_020016	2	3
fr_020017	2	0
fr_020018	2	0
fr_020019	2	1
fr_020020	2	1
fr_020021	2	1
fr_020022	2	0
fr_020023	2	3
fr_020024	2	2
fr_020025	2	2
fr_020026	2	1
fr_020027	2	2
fr_020028	2	0
fr_020029	2	3
fr_020030	2	2
fr_020031	2	1
fr_020032	2	0
fr_020033	2	3
fr_020034	2	0
fr_020035	2	1
fr_020036	2	2
fr_020037	2	1
fr_020038	2	0
fr_020039	2	0
fr_020040	2	3
fr_020041	2	2
fr_020042	2	0
fr_020043	2	0
fr_020044	2	2
fr_020045	2	3
fr_020046	2	3
fr_020047	2	2
fr_020048	2	0
fr_020049	2	1
fr_020050	2	1
fr_020051	2	0
fr_020052	2	0
fr_020053	2	0
fr_020054	2	3
fr_020055	2	0
fr_020056	2	3
fr_020057	2	0
fr_020058	2	2
fr_020059	2	0
fr_020060	2	0
fr_020061	2	0
fr_020062	2	3
fr_020063	2	3
fr_020064	2	0
fr_020065	2	3
fr_020066	2	0
fr_020067	2	1
fr_020068	2	3
fr_020069	2	1
fr_020070	2	3
fr_020071	2	0
fr_020072	2	0
fr_020073	2	3
fr_020074	2	3
fr_020075	2	2
fr_020076	2	0
fr_020077	2	3
fr_020078	2	0
fr_020079	2	0
fr_020080	2	0
fr_020081	2	1
fr_020082	2	0
fr_020083	2	1
fr_020084	2	0
fr_020085	2	2
fr_020086	2	3
fr_020087	2	2
fr_020088	2	0
fr_020089	2	0
fr_020090	2	0
fr_020091	2	0
fr_020092	2	1
fr_020093	2	3
fr_020094	2	3
fr_020095	2	1
fr_020096	2	0
fr_020097	2	0
fr_020098	2	2
fr_020099	2	0
fr_020100	2	2
fr_020101	2	3
fr_020102	2	3
fr_020103	2	3
fr_020104	2	2
fr_020105	2	3
fr_020106	2	3
fr_020107	2	0
fr_020108	2	2
fr_020109	2	0
fr_020110	2	2
fr_020111	2	3
fr_020112	2	2
fr_020113	2	0
fr_020114	2	3
fr_020115	2	3
fr_020116	2	0
fr_020117	2	0
fr_020118	2	1
fr_020119	2	0
fr_020120	2	1
fr_020121	2	0
fr_020122	2	3
fr_020123	2	3
fr_020124	2	2
fr_020125	2	3
fr_020126	2	1
fr_020127	2	2
fr_020128	2	0
fr_020129	2	0
fr_020130	2	3
fr_020131	2	0
fr_020132	2	2
fr_020133	2	2
fr_020134	2	1
fr_020135	2	2
fr_020136	2	1
fr_020137	2	3
fr_020138	2	0
fr_020139	2	2
fr_020140	2	0
fr_020141	2	0
fr_020142	2	0
fr_020143	2	0
fr_020144	2	0
fr_020145	2	0
fr_020146	2	0
fr_020147	2	3
fr_020148	2	0
fr_020149	2	2
fr_020150	2	0
fr_020151	2	1
fr_020152	2	0
fr_020153	2	1
fr_020154	2	0
fr_020155	2	0
fr_020156	2	0
fr_020157	2	1
fr_020158	2	1
fr_020159	2	0
fr_020160	2	2
fr_020161	2	2
fr_020162	2	0
fr_020163	2	1
fr_020164	2	0
fr_020165	2	3
fr_020166	2	1
fr_020167	2	0
fr_020168	2	3
fr_020169	2	3
fr_020170	2	3
fr_020171	2	0
fr_020172	2	3
fr_020173	2	2
fr_020174	2	3
fr_020175	2	0
fr_020176	2	0
fr_020177	2	0
fr_020178	2	3
fr_020179	2	3
fr_020180	2	3
fr_020181	2	3
fr_020182	2	3
fr_020183	2	1
fr_020184	2	0
fr_020185	2	2
fr_020186	2	3
fr_020187	2	0
