,ItemId,PromptId,Score1,AnswerText
1212,4_9320,4,0,The word invasive has a lot of significance because Mac Innes believes the term is unfair and is passing judgement and the whole article is based on his studies.
1185,4_9291,4,0,"Invasive is a reoccurring word in this article. Pythons is an invasive species able to live and eat another. Also, many intrasive species undergo a lag before proliferating (source). Many species are not intrasive, so when it comes to pythons the main idea of the idea of the story; Intrasive is a definition to there habit. Other animals are not like them making the word so much more significant."
1300,4_9418,4,0,"Invasive to the rest of the article means, they went beyond the point that its to much. Example, ""invasive species"", I think that ""invasive"" is a passing judgement. It's too much of a woed to use for that situation."
573,4_8651,4,0,"The importance of the word "" invasive""is that all these rare species are not invasive. The author believes that this term is unfair for the animals instead he says they are "" introduced"". He thinks that the term "" invasive"" is passing judgement. Also, this term relates to the article because these species are being "" introduced "" to society."
1780,4_10060,4,0,"Invasive to the rest of the article is wild and crazy. People feel that pythons are invasive creatures. MccInnes feels that they are not invasive. That they're introduced. People feel that the other reptiles are also invasive creatures. ""They're introduced. I think that 'invasive' is a passing judgement,""paragraph 7."
1398,4_9525,4,0,Invasive means dangerous animals animal that could hurt someone in the story they said that they were invasive.
1125,4_9225,4,0,"The significance of the word ""invasive"" to the rest of the article is unfair. The snakes didn't invade anything they were introduced. It's just a mean opinion of the snakes becoming welcoming."
1312,4_9431,4,0,"The significance of the word invasive is taking over. According to the article. ""The pet industry estimates that 4.8 million housholds now contain atleast one pet reptile, a number that has nearly doubled in a decade."
1253,4_9365,4,0,"The word invasive is significant because it is saying that someone is judging the reptiles. They are judging that all the reptiles are going to be dangerous and not safe to become pets. They think people are bringing them into America just to do it, when they are ""introducing"" them."
1665,4_9824,4,0,Invasive means staying in one location. But the species will show up in many different locations not just one.
1189,4_9295,4,0,"The word ""invasive"" means that animals that constently invade someone's home or yard."
1613,4_9760,4,0,"The significance of the word ""invasive"" is animals that are dangerous because in the article it says they see the trade in nonnative creatures as a factor in the rising numbers in invasive species."
1592,4_9738,4,0,The word invasive is significant to the article because it means that someone's pet can be a threat to someone else beause the pet may be to dangerous to have as a pet.
1891,4_10272,4,0,Invasive to the story to me is an passing judgement as in say's in the text about the.
335,4_8406,4,0,A species that will only stay at one climate and could almost try to eat anything.
655,4_8735,4,0,"In paragraph 5 the author mentions that certain animals are invasive species, meaning that they are  dangerous and probably should not be kept as pets. This goes against what the article was initially saying."
1338,4_9458,4,0,The word invasive is significant because reptiles are becoming invasive in the U.S. The number of reptile owners have doubled in the last decade.
42,4_8112,4,0,The word invasive is used in this article to show that animals like the Burmese python and the Nile monitor lizard are threats . Although some people may consider them as pets they are extremely dangerous.
813,4_8895,4,0,The significance of the word invasive means that the  species are dangerous and they are poisinous.
826,4_8909,4,0,"The word invasive in this article means animals that are roaming in the wild and can cause danger to others. The U.S. fish and wildlife service blocked MacInnes from importing animals such as Fojo, Island iguanas, and radiated tertoises from Madagascar because they are ""invasive""."
1104,4_9202,4,0,"The word ""invasive"" is significant because it is being used to describe python species. It is being used to describe pythons because they are pulled out of their habitat to become pets."
625,4_8704,4,0,"Invasive means something that is not mostly found there, is invading that are. In the article the term ""invasive species"" is considered ""passing judgement""."
348,4_8420,4,0,"The significance of the word invasive in this article is that humans invade the animals privacy. For an example MacInnes from the article said. ""Even the term 'invasive species' is unfair."
1692,4_9880,4,0,"Invasive could be maybe offending somebody in a type of way. You can tell because MacInnes thought it was passing judgement, because he said that even the term ''invasive species'' is unfair."
1294,4_9411,4,0,"If there was to be a world "" invasion"" and the animals and pets will all die and there will become of a new species to then tak its place."
600,4_8679,4,0,"The significance of the word invasive is that RobRoy MacInnes says that it's unfair term toward the, also he says its passing judgement. Also, the animals arent invasive, they're completely harmless creatures."
376,4_8450,4,0,"The word ""invasive"" is important to the rest of the article. Because not all animals are harmful, or dangerous like judge. Such as the ""invases"" Fiji Island iguana, or the radiated tortois from Madagascar. As talk about in the article ""one man's pet, another invasive specie"" by Joel A."
756,4_8838,4,0,"The word ""invasive"" is used as a term. ""Invasive species"", which some people think it's a bad introduction for an animal. They also think it's a passing judgement."
827,4_8910,4,0,Invasive as an endangered and should not be a bet. The people who are calling them invasive are saying they shouldn't be pets and other are calling the regular pets.
244,4_8315,4,0,"The significance of the world ''invasive'' is talking about the term ''invasivespecies.'' Its passing judgement on a species of where they live or what the eat, its ''unfair.'' (p3)"
804,4_8886,4,0,"The significance of the word of invasive means that something takes up and soon takes over a place, they invade something."
1847,4_10183,4,0,The significance of the word ''invasive'' to the article is that it describes the new problem arising in the Everglades the most recently. The article describes pythons as an ''invasive species.'' The word ''invasive'' is just significant because it is supportive of the overall message of the article.
584,4_8662,4,0,"""Invasive"" means to invade. A lot of people think keeping reptiles as pets is invasive. Some people disagree. ""They're 'introduced'. I think that invasive is a passing judgement. Some people think that ""invasive"" is an unfair term."
