,ItemId,PromptId,Score1,AnswerText
910,5_11877,5,0,you have the Mrna that takes to the original rna and makes everything right agian
2014,5_12981,5,0,"Translation, tRNA, Reflection, and DNA"
1405,5_12372,5,0,"1.ribosomes will translate mrna into protiens.2.then protiens go through the Krebs cycle3.then the protiens are changed into atp4.electron chain transporter takes the atp somewhere ,where the atp will be used."
285,5_11252,5,0,"Protein synthesis has four major steps which are the mRNA leaves the nucleus then makes the protein into a smaller strand and the tRNA takes it to where the RNA is and passes it off to the RNA, then the RNA takes the protein to where they can read it."
184,5_11151,5,0,"tRNA, mRNA, RNA, dRNA"
1911,5_12878,5,0,"mRNA goest to the tRNA to become transfer then it gets sent to the amino acid sequence, then tRNA to be synthesized by the rRNA, then RNA breaks off DNA strand"
1473,5_12440,5,0,One would be ER that attach to ribsomes which produce proteins and proteins help your body.
1542,5_12509,5,0,TRNA RNA
1997,5_12964,5,0,The first step to protein synthesis is mRNA leaves the cell. The second step is it gets more protein. The third step is it brings the protein back for the cell. The last step on protein mRNA is it puts the protein back into the cell for it to function.
2357,5_13324,5,0,mRNA tRNA rRNA RNA
1622,5_12589,5,0,"ENTER  EXIT  RIBOMSOME AND, ENZMES"
1890,5_12857,5,0,1. Translation will turn into protein. 2. Anaphase Occurs3. Proteins go throughout the body4. Metaphase occurs
1851,5_12818,5,0,"Anaphase, which is where the nuclous and organelles disappear. Metaphase, where the dna all lines up down the middle.  Telophase, where they split into two. Prophase."
83,5_11050,5,0,mRNArRNAtRNAgRNA
304,5_11271,5,0,The protien goes threw the nucleus and leaves the cell in order to go get what ever the cell needs to live.
334,5_11301,5,0,The proteins enter the body.The proteins go into teh cells.The proteins are use by teh cells.The energy from teh proteins is used throughout teh body.
1212,5_12179,5,0,mRNA leaves the nucleus and goes to the mitochondria. It then is split in parts needed to make the protein
40,5_11007,5,0,"After the mRNA leaves the nucleus it takes the sequence to the cytoplasm. Then the rRNA transports it to to the tRNA.  Then the tRNA takes it to the opposite sequence of DNA, where the process is completed."
694,5_11661,5,0,"mRNA leaves, sends message to tRNA to create more proteins, amino acids get the message, and new proteins are created"
714,5_11681,5,0,It stays in the mitochondrion to produce more protein.
2,5_10969,5,0,The mRNA first gets on an electron transport chain.
435,5_11402,5,0,"The mRNA is the messanger RNA. There are three different types of RNA. MRNA, which is messanger RNA. TRNA which is transfer RNA. And rRNA which creates ribosomes."
949,5_11916,5,0,that that is a bacteria that can't cause cancer on your system
528,5_11495,5,0,"mRNA begin to duplicate the DNA into an RNA form. This then creates another DNA strand, of course after being checked for errors and mutations. In the end, the DNA connects up again after having to split for duplication."
1606,5_12573,5,0,It carries instructions from the nucleus containing information about the sequence of amino acids of a protein.
2130,5_13097,5,0,There are the four types of DNA: rDNAtDNAmDNA rRNA
1105,5_12072,5,0,First mRNA starts by creating a message that Tells the other types of RNA what they will be doing. It creates a blue print for tRNA. tRNA then carries the ammio acids with the anticoden to the rRNA which makes up ribosomes and other proteins.
1738,5_12705,5,0,"The mRNA gives its information to the next RNA, rRNA which then will pass the information to tRNA while with tRNA the RNA will transcribe the RNA and break it down and anylze it, it will then pass it to the gRNA which is the last step in protein synthesis."
115,5_11082,5,0,The first step would have to be building of bones and other body parts in the body. The second step would be protecting from viruses. The third step would be building a proactive life span. And the fourth step would be keeping the body safe and healthy.
2121,5_13088,5,0,mRNA is the messanger that carries the protein to the nucleus.tRNA transfers the protein
2174,5_13141,5,0,mRNA leaves the nucleus and forms bonds with tRNA to create more mRNA.
698,5_11665,5,0,tRNA.
1800,5_12767,5,0,"1. When mRNA leaves the nucleus, it then goes to the transfer RNA to take the instructions for the  amino acids in the cell2. After transfer RNA enters the cell, it gives the cell the needed amino acids3. The amino acids are then synthesised4. The cell then uses the amino acids for different uses"
1659,5_12626,5,0,1.)you eat the protein so u can get strong.2.)it helps you grow strongh bones so when you get older you can lift heavy objects.3.)it helps fight of disease.4.)it makes you less likely to get sick
1446,5_12413,5,0,"mRNA leaves the nucleus to collect data and brings it back into the cell. After that, the DNA is replicated. Following this step, the tRNA transfers the DNA onto the replication. Ribosomes hold the replica into place as it transfers."
1698,5_12665,5,0,Step.1) The mRNA leaves the nucleusStep 2) The mRNA then Finds another strand of mRNA     Step 3) The mRNA Combines with the other strand of mRNAStep 4) DNA is formed
