,Unnamed: 0,id,text,prompt,score
4,4,zh_100005,Blanco:: La temperatura dentro de la jaula se mantendrá entre _41-43°C. La temperatura media de la jaula en los experimentos 1 - 3 fue de 42°C para el blanco.,10,1
53,53,zh_100054,"Blanco:: reduce la temperatura del aire en la perrera en comparación con otros colores, refleja y absorbe menos luz, es decir, absorbe menos energía",10,1
70,70,zh_100071,"Gris oscuro:: mantiene constante la temperatura del aire Cuanto más oscuro es el color, mejor es el aislamiento La temperatura se mantuvo constante durante los cinco experimentos",10,0
72,72,zh_100073,Negro:: cuanto más oscuro es el color más caliente es la perrera El negro tiene una media de _53°C más que el gris oscuro gris claro blanco,10,2
76,76,zh_100077,"Blanco:: El blanco absorbe energía y hace que la temperatura en el interior de la perrera aumente, pero lo hace más lentamente que otros colores. La temperatura media del negro es de _53°C, la del gris oscuro 48, la del gris claro 45 y la del blanco 42, por lo que el blanco absorbe la energía más lentamente en comparación.",10,2
83,83,zh_100084,Negro:: calienta la perrera y aumenta el brillo de la misma,10,1
88,88,zh_100089,Blanco:: se produjo un pequeño cambio en la temperatura media del aire en la perrera La temperatura media en el interior del tarro de cristal tras _10 minutos de taponamiento blanco fue de 42°C,10,1
121,121,zh_100122,Negro :: El negro es más absorbente del calor y la temperatura dentro de la perrera aumentará,10,1
141,141,zh_100142,Blanco:: El color blanco evita que la temperatura dentro de la perrera sea demasiado alta,10,1
154,154,zh_100155,"Blanco :: cuanto más claro es el color, menor es la diferencia de aumento de temperatura y lo contrario no es cierto",10,0
164,164,zh_100165,Negro:: El negro eleva la temperatura,10,1
176,176,zh_100177,Negro:: el color más oscuro absorbe más energía Interior de la perrera más cálido Negro temperatura media más alta en _3 pruebas,10,2
191,191,zh_100192,Gris claro:: mantiene el equilibrio del interior de la perrera,10,0
194,194,zh_100195,Negro::afectará al cambio de temperatura El negro es el mejor para mantener el calor,10,1
228,228,zh_100229,"Blanco:: el color aumenta la temperatura cuando hay luz y mantiene el interior de la perrera relativamente estable, la prueba _1 aumenta la temperatura cuando hay luz la prueba 2 aumenta la temperatura y la pequeña prueba 3 disminuye la temperatura. Mantiene su temperatura relativamente adecuada",10,0
244,244,zh_100245,Gris claro:: la perrera se vuelve gris,10,0
251,251,zh_100252,Blanco::El blanco es el que menos cambia la temperatura.,10,0
267,267,zh_100268,"Negro::aumenta la temperatura, el negro es más alto en todos los casos",10,1
302,302,zh_100303,Azul::Utiliza la luz para hacer brillar este color azul.,10,0
