id	prompt	score
en_000009	1	3
en_000012	1	3
en_000014	1	2
en_000023	1	0
en_000031	1	2
en_000035	1	1
en_000036	1	2
en_000066	1	0
en_000068	1	2
en_000069	1	3
en_000074	1	1
en_000079	1	1
en_000080	1	1
en_000089	1	0
en_000096	1	0
en_000098	1	1
en_000100	1	2
en_000102	1	2
en_000105	1	0
en_000106	1	1
en_000107	1	2
en_000115	1	1
en_000131	1	3
en_000154	1	0
en_000157	1	2
en_000168	1	3
en_000176	1	2
en_000190	1	2
en_000213	1	2
en_000217	1	1
en_000218	1	1
en_000221	1	2
en_000224	1	2
en_000228	1	3
en_000230	1	0
en_000245	1	3
en_000247	1	1
en_000249	1	2
en_000259	1	1
en_000274	1	1
en_000275	1	1
en_000276	1	1
en_000283	1	0
en_000292	1	0
en_000294	1	1
en_000296	1	0
en_000298	1	2
en_000302	1	3
en_000312	1	1
en_000313	1	3
en_000314	1	1
en_000319	1	2
en_000324	1	2
en_000339	1	0
en_000340	1	1
en_000341	1	3
en_000351	1	2
en_000359	1	3
en_000360	1	1
en_000373	1	1
en_000376	1	0
en_000378	1	2
en_000383	1	2
en_000392	1	1
en_000407	1	0
en_000418	1	1
en_000420	1	2
en_000421	1	3
en_000428	1	3
en_000446	1	2
en_000447	1	1
en_000454	1	3
en_000456	1	0
en_000460	1	0
en_000468	1	1
en_000469	1	3
en_000482	1	1
en_000487	1	0
en_000499	1	3
en_000517	1	1
en_000522	1	1
en_000529	1	3
en_000537	1	3
en_000539	1	2
en_000540	1	2
en_000551	1	2
en_000552	1	3
en_000561	1	1
en_000562	1	1
en_000567	1	3
en_000572	1	0
en_000588	1	3
en_000592	1	2
en_000593	1	3
en_000598	1	0
en_000599	1	2
en_000602	1	2
en_000607	1	3
en_000612	1	2
en_000616	1	3
en_000627	1	3
en_000632	1	3
en_000634	1	0
en_000647	1	3
en_000655	1	2
en_000659	1	2
en_000664	1	2
en_000666	1	1
en_000673	1	2
en_000688	1	2
en_000694	1	2
en_000697	1	2
en_000699	1	1
en_000704	1	3
en_000714	1	0
en_000720	1	1
en_000721	1	1
en_000730	1	2
en_000738	1	1
en_000753	1	2
en_000758	1	3
en_000761	1	1
en_000767	1	1
en_000777	1	3
en_000779	1	2
en_000789	1	2
en_000799	1	2
en_000808	1	0
en_000810	1	3
en_000819	1	3
en_000823	1	0
en_000827	1	2
en_000828	1	2
en_000830	1	1
en_000831	1	0
en_000839	1	0
en_000841	1	1
en_000846	1	1
en_000847	1	3
en_000851	1	0
en_000853	1	0
en_000854	1	0
en_000868	1	3
en_000870	1	2
en_000879	1	1
en_000880	1	1
en_000885	1	2
en_000897	1	0
en_000900	1	0
en_000903	1	2
en_000904	1	3
en_000906	1	1
en_000911	1	0
en_000913	1	2
en_000914	1	1
en_000921	1	0
en_000925	1	1
en_000933	1	2
en_000945	1	0
en_000946	1	2
en_000953	1	0
en_000958	1	2
en_000964	1	2
en_000967	1	3
en_000970	1	3
en_000976	1	1
en_000978	1	0
en_000981	1	2
en_000982	1	3
en_000987	1	1
en_000991	1	0
en_000992	1	2
en_000997	1	3
en_001013	1	2
en_001027	1	3
en_001029	1	1
en_001034	1	0
en_001035	1	0
en_001048	1	2
en_001050	1	0
en_001053	1	2
en_001054	1	0
en_001055	1	3
en_001064	1	0
en_001065	1	1
en_001067	1	3
en_001073	1	2
en_001075	1	2
en_001084	1	1
en_001087	1	0
en_001088	1	2
en_001091	1	2
en_001097	1	1
en_001098	1	2
en_001114	1	2
en_001127	1	2
en_001141	1	3
en_001145	1	1
en_001157	1	1
en_001165	1	1
en_001170	1	0
en_001172	1	2
en_001177	1	1
en_001179	1	0
en_001186	1	0
en_001196	1	1
en_001206	1	3
en_001207	1	2
en_001211	1	3
en_001217	1	0
en_001218	1	1
en_001220	1	1
en_001221	1	0
en_001239	1	3
en_001240	1	0
en_001248	1	3
en_001251	1	1
en_001253	1	2
en_001263	1	0
en_001264	1	0
en_001267	1	0
en_001276	1	3
en_001288	1	0
en_001291	1	0
en_001292	1	3
en_001293	1	3
en_001299	1	1
en_001305	1	0
en_001311	1	2
en_001322	1	1
en_001324	1	0
en_001335	1	1
en_001342	1	2
en_001349	1	3
en_001357	1	2
en_001359	1	1
en_001361	1	1
en_001365	1	1
en_001369	1	1
en_001381	1	1
en_001382	1	2
en_001384	1	0
en_001392	1	1
en_001398	1	0
en_001407	1	2
en_001409	1	0
en_001412	1	0
en_001416	1	2
en_001419	1	3
en_001425	1	3
en_001426	1	2
en_001430	1	1
en_001436	1	1
en_001441	1	0
en_001443	1	2
en_001450	1	0
en_001454	1	1
en_001456	1	2
en_001457	1	3
en_001458	1	3
en_001461	1	2
en_001463	1	1
en_001470	1	3
en_001476	1	3
en_001488	1	0
en_001497	1	0
en_001501	1	1
en_001508	1	2
en_001511	1	2
en_001512	1	2
en_001513	1	3
en_001519	1	3
en_001521	1	2
en_001522	1	2
en_001523	1	0
en_001531	1	2
en_001538	1	0
en_001539	1	2
en_001550	1	1
en_001552	1	0
en_001567	1	2
en_001571	1	2
en_001578	1	1
en_001580	1	3
en_001587	1	3
en_001592	1	1
en_001595	1	1
en_001605	1	0
en_001609	1	1
en_001612	1	0
en_001630	1	3
en_001631	1	2
en_001632	1	3
en_001643	1	2
en_001646	1	1
en_001649	1	2
en_001650	1	0
en_001655	1	2
en_001660	1	3
en_001666	1	2
