,ItemId,PromptId,Score1,AnswerText
2104,9_25056,9,0,The author organizes the article by telling you what space junk was and the way it occurs.
1950,9_24902,9,0,He goes in order by what happens with space junk
1418,9_24370,9,0,The author's organization of the article by starting off with an interesting beginning and slowly went to the main point. That is a sign of a great author.
1325,9_24277,9,0,The author gets us thinking about space and the things that go on. Then gives us the history about the space exploration and the dangers there are in space. The author tells us about all the space junk especially that can be seriously dangerous. All the information lead up to the fact that there is a lot of junk floating around in space thats dangerous and that the satellites could collide because it has happened before.
2369,9_25321,9,0,The author organizes the article by the littlest problem to the buggest problem.
2091,9_25043,9,0,The author starts with interesting material to important facts and conclusions.
1398,9_24350,9,0,He organizes the article from most dangerous to the solutions or what we are working on to be our solutions.
582,9_23534,9,0,I think he put them in order by the first discovery and then in the order of more discovery's as time went along.
2225,9_25177,9,0,The author makes the article an attention grabber. Once he has the readers attenchion he moves on to the more important facts. The author makes sure the readers know that space has many dangerous things out there.
895,9_23847,9,0,They state alot of facts.
331,9_23283,9,0,"It gives specific detail about the space, and it tells you that scientist are hard pressed for an easy solution to the problem of space junk. It's giving information about the satelite problems."
993,9_23945,9,0,This chapter was talking about   space and this explan as how biga nd how much the nasa are  having problems in the futere
317,9_23269,9,0,Who organizes it over what things are important in space junk and the exploration of space junk.
277,9_23229,9,0,The  author organizes the article by telling you what could happen if you were in space and things like this happened. You would need to no what to have with you at times and what do you when you are on a space mission.
1906,9_24858,9,0,"At first he starts off all excited, then he gets serious and tells us the harmful stuff that happens and why it happens, and how they are trying to prevent it from happening."
2194,9_25146,9,0,"He makes it exciting at first then settles down and gets serious about the satellites and how important they are, and how dangerous it is if they hit stuff."
1705,9_24657,9,0,The author organize this
269,9_23221,9,0,"The author organize it by explaining each thing that he talks about, like the history of the satellite and who sent the first ones up into space."
355,9_23307,9,0,"The author organize the article by telling what it is, how did it start.The author use date and times, he also use how difficult it is out there in space."
2113,9_25065,9,0,Well first he gets you in to it by the first paragraph than his tone changes . It is organized preety well. They got the paragraph space junk thats a interesting paragraph the aithor trys to bring you in this story.
999,9_23951,9,0,He organized from the least amount of damage to what can cause the most amount.
1856,9_24808,9,0,Well I hink with how she set up her information on space travel and on how harmful microdebris really is.
764,9_23716,9,0,They try to catch your attention by saying thing exiting and then it's a let down. They are trying to get you to think about what it really is.
228,9_23180,9,0,He organizes it by asking rhetoric questions in the begining of the article. He defines it and tells  us what it is mainly about. Then he explains in more detail what else is in outer space. Such these as microdebris fields and other space junk.
548,9_23500,9,0,it's organized to be setup from what to them is most impotant and then not as important but has a good meaning behind what they're saying.
1414,9_24366,9,0,He makes you interested in the story right away. Then he gives a lot of statistcs and facts.
2,9_22954,9,0,"He says what it is, and the first year they started doing. He also talked about that different crash course you could have if you go up in space. That you might want to bring tools with you just in  case somethimg happens."
1483,9_24435,9,0,Space Junk is basiclly like littering. Satelites are trying to connect to these problems by reducing so much space junk. Even the military and NASA were trying to find out the whole situation. The aurthor trying to tell the reader that space junk could lead to many problems to the universe. The only way they can do that is to reduce many space junk to decrease less astroids taking over the universe.
2166,9_25118,9,0,Well he tells that space is full of stuff and what thr reader to know the improtantice of it all.
2268,9_25220,9,0,the author organizes the article by dates.
898,9_23850,9,0,he organizes it by starting out with action statments to get the readers attention. then he goes in and explaing what soace junk is.as well with a few good stories.
676,9_23628,9,0,"The author organized the article to follow a pattern. The author started with an ancedote about it, then told what is is, then showed that they crashed into each other, then told what the debris could to other space craft."
1754,9_24706,9,0,"The author organizes the article by the development of space technology and the dates in which the statistics of space junk; staelites, telescopes and ect, are reconized."
289,9_23241,9,0,The author categorizes it in such a way that you remain interested and he talks about some of the bigger events that have happened in space. He also talks about some of the issues that could happen in the future.
2352,9_25304,9,0,the way he got everything organized is like he got everything label and know where exactly where too go.
527,9_23479,9,0,"The author grabbs your attention, then explains the point if the passage. The history and why it has happened. Then it shows what is harmful to it then explaining that it is a big deal."
1933,9_24885,9,0,The author organize the article explaining the satellite that have been sent beyond Earth's atmosphere and what happens when the satllite die.
349,9_23301,9,0,by seadily stating facts and then completely proving his/her point at the end.
294,9_23246,9,0,He gose in order one what he knows. Instead of skiping around.
70,9_23022,9,0,"I think that the author organization is kind of messy, but kind of not. In the beginning, he starts off with a wild introduction, but that made me interested in reading it. Then he goes off talking about different topics, making it pretty organized because atleast he has a title to make the readers know that they are going to learn something different."
410,9_23362,9,0,The author organizes the article kind of like a comic book at the beginning. The rest of the article is like a big story of information.
2239,9_25191,9,0,The author is organized and has very goood supporting details that are true.
551,9_23503,9,0,"He or she does a good job at putting it togater. Beacuse it all made sense. I thought it sounded good about how he or she talked about (what is space junk,Crash course,and Littil Bits,But a Big Deal.Every thing that was in thoes aticals sounded good."
59,9_23011,9,0,He organizes rhe artice by piting his content into full paragraphs.
1724,9_24676,9,0,The author organizes this article in a very unique way. In the introduction he grabs your attention by stating  'Grab your telescope! Look up in the sky! It's a comet! It's a meteor!' By saying that the author has automatically grabbed your attention and you are now hooked in on reading the article. Then the author writes a series of important facts that can be useful for you to know.
516,9_23468,9,0,He makes it less confusing by putting stuff from the previus paragraphs in with the next. That makes it easier to understand.
2350,9_25302,9,0,The author organizes the article with several different pieces of writing put into one. It makes this article a good read.
773,9_23725,9,0,The author organizes it in a proper manner. It was mostley in order and never of the topic or the paragraph.
1193,9_24145,9,0,He put the important pats first.
447,9_23399,9,0,"The author orgnizes the article by first giveing you a breaf history. statistics, and finaly the trueth about space junk"
2370,9_25322,9,0,The author starts out with the things that are not exactly that important and ends with things that are extremely important.
590,9_23542,9,0,"The author organizes the artclie. One example of how they author organizes it, is by every peragraph being about itss own thing. Another exampe us by seperating everything so it is easy to read."
429,9_23381,9,0,He makes it all make sence and intresting.
542,9_23494,9,0,"The author breaks down the article, telling what's going on, and what everything is. He's letting the readers know what's going on in space and what may occur later."
1569,9_24521,9,0,"The author tells whoever is reading this actual stories of what has happened, and dangers of space junk."
1239,9_24191,9,0,"Well the author says space junk can become bad and sometimes end up really goood, but on the other hand space can always mean damage to other thing that our out in space."
1947,9_24899,9,0,"They ask what is junk, and tell you that its stuff from the soler system. then they tell you haw it got here. Then they tell you who cares about it and what people will actuall do to get it."
2161,9_25113,9,0,The author organizes the article by building up the information about space junk and how it will effect futre spece exploration.
418,9_23370,9,0,The author organized this article good. The reason I say that is because he has told you how important it is that trash is not sent to outer space.
1937,9_24889,9,0,That we need to take care about all the things that are around me like space its really impotant to everyone in the earth.
537,9_23489,9,0,The author organozes that their is dangers out their.
666,9_23618,9,0,The author organize the article by grabing the reader ettention in the essy.
1344,9_24296,9,0,it is a great concern to the government around the globe
2261,9_25213,9,0,He puts them in order by how they affect us.
2221,9_25173,9,0,He orders the article from not so important to realy impotant.
2023,9_24975,9,0,He organizes the article in a timeline.
998,9_23950,9,0,THEY ORGANIZE IT BY TELLING YOU SOME FACTS ABOUT SPACE AND SPACE JUNK THEN THEY TELL YOU THE PROBLEM IT CAUSES.
1440,9_24392,9,0,The author uses the improtaint information at different times to keep the reader intrested and also to help the people better understand the problems.
1374,9_24326,9,0,"The author starts out drawing the reader into the article. Then he starts with the history of space accidents, and starts to describe the harmfulness of orbiting junk."
2359,9_25311,9,0,"He gives great reasoning and citing, in all paragraphs."
1523,9_24475,9,0,The author organized the article to avoid giving to much information about one subject. He wants the article to give simpler information.
1890,9_24842,9,0,They start with some history about space travel. Then go to how its not good to leave space junk in outerspace.
1559,9_24511,9,0,He goes step by steps. He tells us what each thing is like and it really helps out alot.
204,9_23156,9,0,"The author arganized the righting using information he knows, and gathered about the junk in space. Then he goes into detail about how the junk even got in space, and what the junk was. After that they talk about the danger that the junk can produce, and the will to get rid of it."
509,9_23461,9,0,he organizes it with numbers if you dont beleve me look at the paragraph
2056,9_25008,9,0,The author organizes the article by telling the history of his subject. From there he goes in order from the advancements in each decade following all the way up to todays space junk.
1218,9_24170,9,0,He Organizes like from harmless to harmful saying that it is getting worse and worse over time.
2155,9_25107,9,0,The auther organizes this article by importance. It would be important to know what space junk is before you read the other paragraphs to know what happens to space junk.
2031,9_24983,9,0,The author puts the things that are not so important first that he puts the stuff that needs to be talked about next.The reason that he does that is so he can stay on the topic that he wamts to and so he can mostly talk about the importance of why we should not send any thing up to the moon be cause sooner or later it will cause problems for us and we dont want that.
978,9_23930,9,0,chronological order.
938,9_23890,9,0,"In this story to organize things, they sorted all the stuff out that they needed to put together, so it isn't all in random places and so it all makes sense, and none of it is out of wack."
384,9_23336,9,0,"starts with the beginning of it all and then goes through it all tell what we know now. it says in the beginning of what is space junk 'in 1957,' and in the end it says 'in 2008'."
2164,9_25116,9,0,first he explains what ...
1554,9_24506,9,0,its all about how the great invenshons work in ower everyday life and the dangers of spaces and all the trash on the outer rim of the atmosphere.
774,9_23726,9,0,he give goods examples and then he uses alot of facts to back up what he was talking about. he also uses alot of information about past accendets that happend in space cause of debris.
1159,9_24111,9,0,He organizes it by detail.
997,9_23949,9,0,He goes from an exciting first paragraph to two more detailed paragraphs.
1788,9_24740,9,0,to make it sound like its a big deal that space junk is a big problem so he gets peoples attention.
1279,9_24231,9,0,He puts all the most important information at the beginning.
1547,9_24499,9,0,He uses bold print and alot of spacing to show where his paragraphs end and where his new articles begin.
2312,9_25264,9,0,I really dont understand the question you are aking me.
545,9_23497,9,0,The author organized this article by catching your attention. 'Grab your telescope! Look up in the sky! It's a comet! It's a meteor! It's a tool bag?' Then the author proceeds to tell the reader about the backgroud of space exploration. They try to show you how one little thing can mean a great deal.
819,9_23771,9,0,the arthur organized the articale by
135,9_23087,9,0,The author organizes the paragraph by going into detail about what is going on and what is happening. He/She is telling us what caused it to happen and how it happened but also shows us what we can do to change what happened.
906,9_23858,9,0,The author organizes this article by usingbuilding the argument layout.
343,9_23295,9,0,The author organizes this article to get peoples attention. To try and let them know that things are dangrous and we don't see it. I feel all the author was trying to do is get his/or her point across in a way that would let everyone understand.
1725,9_24677,9,0,By puting the stories in the right order on how it would happen first.
1632,9_24584,9,0,the article is put togoghter by a the perosn that does the all the finaling to the paper.
1315,9_24267,9,0,aneye catching first line thats works its way into the article while using some unique words to catch your eye
1944,9_24896,9,0,sp they csn get tinto the book
1629,9_24581,9,0,"He starts it off like a story, but after the introduction he changes it to  informative facts."
1995,9_24947,9,0,The author orgainizes the article by clearly presenting each new idea or problem space junk causes. He does this by indenting and bolding each starting  paragraph.
1855,9_24807,9,0,The author in my opion did organize it well because he has dates showing when something happened and the author stays on topic with each paragraph that was written.
660,9_23612,9,0,the author gose in order with what relly happens
960,9_23912,9,0,about the bags fall from space and it called space junk it might hurt the earth
2307,9_25259,9,0,The author organizes this article by the importance of each fact.
1693,9_24645,9,0,The author organizes the article by matter of importence.
332,9_23284,9,0,"They organized the articles by telling what the problem was, then go over if these things stay in space how they could harm us."
714,9_23666,9,0,They show the facts first and tell you what could happen
249,9_23201,9,0,The author organizes this article by collecting facts and concerns by the government. The author also has facts from other countries. The author takes these facts and hands them to us in an article as we just have read.
1232,9_24184,9,0,"orbiting junk over the 52 years he a variety of spacecrft, includ space capsules, telescope, and satelites."
1907,9_24859,9,0,He organizes this artice base off the domino effect.If one of these events never happened none of these wouldn't happen.
560,9_23512,9,0,He starts off by getting our attention and then goes into the boaring stuff.
208,9_23160,9,0,The author organizes this article into questions followed by a few paragraphs answering that question.  For example the section labeled 'What Is Space Junk?' is followed by two paragraphs answering that question.
312,9_23264,9,0,I think the aurthor organizes the article by putting the actions first and i thaink thats what makes the aruthor have veiwers and grabes the atention !! (: Also i think another way was the aurthor put interesting facts in the story that would also atract people to read the aurthor's story !! (:
751,9_23703,9,0,he goes from present tense to past tense to provide an example then goes to future tense to say what could hapen if space junk gets worse.
305,9_23257,9,0,The author organizes the article by fact and opinion.
1216,9_24168,9,0,space travel from 1957 union launched the first space satellite to go to the moon.
939,9_23891,9,0,The author uses forshadowing in the second paragraph of the article to emphisize how a little tool box is actualy a big problem. It is well organized by what happens to objects taken up into space.
1759,9_24711,9,0,IT WAS NOT ORGANIZED WELL
1320,9_24272,9,0,The article was about how a orbiting junk. they talked about tool bag.Space junk is currently of great
1908,9_24860,9,0,The author organize the article by talking to NASA about the space junk.
2130,9_25082,9,0,by telling what it is and then explaning how it works
553,9_23505,9,0,hey whats to know about space junk ask your question what is space junk
2120,9_25072,9,0,He makes he to weree he can under stand how and what junk is and how bad it is.
935,9_23887,9,0,"The author has organized this article in a cause and effect type of organization. The author gives an effect, and then follows it with its cause. Then the whole part of the statement is supported with details to make it an informative article."
1558,9_24510,9,0,Thw author organizes this article very well. He started with explaining what everything was and then went on too explain what it was and how we can maybe stop it from happening.
2371,9_25323,9,0,he talks about space jumk ant the great space race
1965,9_24917,9,0,HE ORGANIZE THE ARTICLE BY STEPS
248,9_23200,9,0,Like a news paper.
1011,9_23963,9,0,He organizes it by bits of information.
834,9_23786,9,0,He puts the main facts first then makes the other important facts follow after.
1568,9_24520,9,0,"The authors tone is a big attention grabber at the beginning. As the story goes on, the details increase and get deeper."
2121,9_25073,9,0,by creating several articles supporting the main idea.
388,9_23340,9,0,He organizes the article in a way that describes the cause of one thing to the next and explains each section in detail.
97,9_23049,9,0,"The author organizes his article by putting useful information about whats going on in space or what has already happened. The author grabs your attention by giving what was said in his/hers class room, then they go on to tell you important information, for example of an important thing the author said is 'In 1957, the Soviet Union launched the first artificial satellite'. These things they've mentioned are important already."
947,9_23899,9,0,I think the story is organized in a informational kind of way. At the begining the author starts off with an insteresting facts and throughout it it just tells about information.
1541,9_24493,9,0,The author organized the article very well and in order.
1373,9_24325,9,0,The author organizes the article by importance to the universe. He starts with the most important things then goes down to stuff that's not as important. He gives details on everything to help you better understand what it is used for.
