id	prompt	score
zh_100001	10	2
zh_100002	10	2
zh_100003	10	0
zh_100004	10	0
zh_100005	10	1
zh_100006	10	0
zh_100007	10	0
zh_100008	10	2
zh_100009	10	2
zh_100010	10	0
zh_100011	10	1
zh_100012	10	2
zh_100013	10	2
zh_100014	10	0
zh_100015	10	1
zh_100016	10	1
zh_100017	10	0
zh_100018	10	0
zh_100019	10	1
zh_100020	10	1
zh_100021	10	1
zh_100022	10	1
zh_100023	10	2
zh_100024	10	2
zh_100025	10	1
zh_100026	10	2
zh_100027	10	1
zh_100028	10	0
zh_100029	10	0
zh_100030	10	1
zh_100031	10	2
zh_100032	10	1
zh_100033	10	1
zh_100034	10	0
zh_100035	10	2
zh_100036	10	0
zh_100037	10	1
zh_100038	10	2
zh_100039	10	2
zh_100040	10	2
zh_100041	10	0
zh_100042	10	1
zh_100043	10	1
zh_100044	10	1
zh_100045	10	0
zh_100046	10	2
zh_100047	10	2
zh_100048	10	1
zh_100049	10	0
zh_100050	10	0
zh_100051	10	1
zh_100052	10	0
zh_100053	10	0
zh_100054	10	1
zh_100055	10	0
zh_100056	10	0
zh_100057	10	0
zh_100058	10	0
zh_100059	10	0
zh_100060	10	1
zh_100061	10	1
zh_100062	10	2
zh_100063	10	1
zh_100064	10	0
zh_100065	10	1
zh_100066	10	1
zh_100067	10	1
zh_100068	10	2
zh_100069	10	0
zh_100070	10	0
zh_100071	10	0
zh_100072	10	0
zh_100073	10	2
zh_100074	10	0
zh_100075	10	1
zh_100076	10	2
zh_100077	10	2
zh_100078	10	1
zh_100079	10	2
zh_100080	10	1
zh_100081	10	0
zh_100082	10	1
zh_100083	10	1
zh_100084	10	1
zh_100085	10	0
zh_100086	10	2
zh_100087	10	1
zh_100088	10	1
zh_100089	10	1
zh_100090	10	2
zh_100091	10	0
zh_100092	10	1
zh_100093	10	0
zh_100094	10	1
zh_100095	10	0
zh_100096	10	0
zh_100097	10	0
zh_100098	10	0
zh_100099	10	1
zh_100100	10	0
zh_100101	10	2
zh_100102	10	0
zh_100103	10	1
zh_100104	10	1
zh_100105	10	1
zh_100106	10	1
zh_100107	10	0
zh_100108	10	1
zh_100109	10	0
zh_100110	10	0
zh_100111	10	0
zh_100112	10	0
zh_100113	10	0
zh_100114	10	0
zh_100115	10	0
zh_100116	10	0
zh_100117	10	0
zh_100118	10	1
zh_100119	10	1
zh_100120	10	2
zh_100121	10	0
zh_100122	10	1
zh_100123	10	0
zh_100124	10	0
zh_100125	10	1
zh_100126	10	0
zh_100127	10	0
zh_100128	10	1
zh_100129	10	0
zh_100130	10	0
zh_100131	10	0
zh_100132	10	0
zh_100133	10	0
zh_100134	10	0
zh_100135	10	1
zh_100136	10	0
zh_100137	10	0
zh_100138	10	1
zh_100139	10	0
