id	prompt	score
zh_020001	2	3
zh_020002	2	0
zh_020003	2	0
zh_020004	2	1
zh_020005	2	1
zh_020006	2	1
zh_020007	2	0
zh_020008	2	1
zh_020009	2	0
zh_020010	2	2
zh_020011	2	2
zh_020012	2	1
zh_020013	2	2
zh_020014	2	1
zh_020015	2	2
zh_020016	2	0
zh_020017	2	1
zh_020018	2	1
zh_020019	2	1
zh_020020	2	1
zh_020021	2	1
zh_020022	2	1
zh_020023	2	0
zh_020024	2	0
zh_020025	2	1
zh_020026	2	0
zh_020027	2	1
zh_020028	2	2
zh_020029	2	0
zh_020030	2	0
zh_020031	2	1
zh_020032	2	1
zh_020033	2	1
zh_020034	2	0
zh_020035	2	0
zh_020036	2	1
zh_020037	2	1
zh_020038	2	2
zh_020039	2	0
zh_020040	2	3
zh_020041	2	1
zh_020042	2	2
zh_020043	2	1
zh_020044	2	1
zh_020045	2	1
zh_020046	2	2
zh_020047	2	1
zh_020048	2	1
zh_020049	2	0
zh_020050	2	1
zh_020051	2	0
zh_020052	2	2
zh_020053	2	0
zh_020054	2	1
zh_020055	2	2
zh_020056	2	0
zh_020057	2	1
zh_020058	2	1
zh_020059	2	1
zh_020060	2	0
zh_020061	2	1
zh_020062	2	0
zh_020063	2	1
zh_020064	2	0
zh_020065	2	0
zh_020066	2	1
zh_020067	2	1
zh_020068	2	0
zh_020069	2	0
zh_020070	2	3
zh_020071	2	2
zh_020072	2	1
zh_020073	2	0
zh_020074	2	1
zh_020075	2	0
zh_020076	2	1
zh_020077	2	1
zh_020078	2	2
zh_020079	2	0
zh_020080	2	0
zh_020081	2	0
zh_020082	2	1
zh_020083	2	1
zh_020084	2	2
zh_020085	2	3
zh_020086	2	1
zh_020087	2	1
zh_020088	2	0
zh_020089	2	2
zh_020090	2	2
zh_020091	2	2
zh_020092	2	0
zh_020093	2	0
zh_020094	2	2
zh_020095	2	1
zh_020096	2	3
zh_020097	2	1
zh_020098	2	2
zh_020099	2	0
zh_020100	2	0
zh_020101	2	0
zh_020102	2	1
zh_020103	2	1
zh_020104	2	1
zh_020105	2	0
zh_020106	2	0
zh_020107	2	1
zh_020108	2	0
zh_020109	2	1
zh_020110	2	1
zh_020111	2	2
zh_020112	2	1
zh_020113	2	2
zh_020114	2	2
zh_020115	2	0
zh_020116	2	3
zh_020117	2	3
zh_020118	2	1
zh_020119	2	1
zh_020120	2	1
zh_020121	2	1
zh_020122	2	1
zh_020123	2	0
zh_020124	2	1
zh_020125	2	0
zh_020126	2	1
zh_020127	2	0
zh_020128	2	0
zh_020129	2	1
zh_020130	2	0
zh_020131	2	1
zh_020132	2	0
zh_020133	2	1
zh_020134	2	1
zh_020135	2	1
zh_020136	2	2
zh_020137	2	2
zh_020138	2	0
zh_020139	2	1
zh_020140	2	0
zh_020141	2	1
zh_020142	2	1
zh_020143	2	1
zh_020144	2	0
zh_020145	2	2
zh_020146	2	1
zh_020147	2	0
zh_020148	2	1
zh_020149	2	1
zh_020150	2	0
zh_020151	2	1
zh_020152	2	1
zh_020153	2	0
zh_020154	2	1
zh_020155	2	1
zh_020156	2	0
zh_020157	2	0
zh_020158	2	1
zh_020159	2	2
zh_020160	2	0
zh_020161	2	0
zh_020162	2	0
zh_020163	2	2
zh_020164	2	1
zh_020165	2	2
zh_020166	2	2
zh_020167	2	1
zh_020168	2	1
zh_020169	2	0
zh_020170	2	0
zh_020171	2	1
zh_020172	2	1
zh_020173	2	1
zh_020174	2	1
zh_020175	2	1
zh_020176	2	0
zh_020177	2	0
zh_020178	2	1
zh_020179	2	1
zh_020180	2	2
zh_020181	2	2
zh_020182	2	1
zh_020183	2	0
