id	prompt	score
es_3018Q3ZVOK35YRJNTVWZZ2LMBENRA7	10	2
es_3018Q3ZVOK35YRJNTVWZZ2LMDXXAR4	10	1
es_304SM51WA5HMIGOSEYW0KNAOI0CSBJ	10	0
es_308Q0PEVBAQE096ZB2OQPF9BKSU9I0	10	0
es_308XBLVESKHAH1OFZ9WVUD5SV4ABR6	10	2
es_30H4UDGLT4VLOFCXD6IF3YG74D7PMG	10	2
es_30IQTZXKAMJTUA7HAS5YZEVX1AY0XN	10	1
es_30LB5CDZNENIZ57WBATJWZB87AM0Z8	10	0
es_30X31N5D653HZ6J08KW4PCQISR8ASX	10	1
es_30ZX6P7VFA8ZV0568BUBRTGXKAC2JR	10	2
es_30ZX6P7VFA8ZV0568BUBRTGXKD0J22	10	1
es_317HQ483I95ZPBATCC7V7G4VP67INI	10	1
es_3180JW2OT6PRUXOTQUW9P0J965QJ54	10	1
es_3180JW2OT6PRUXOTQUW9P0J98C25JI	10	1
es_31EUONYN2XGMT2U5CY6R1UUUG7WOVV	10	2
es_31JLPPHS2W72HTSMSO0LIZ2BT8DO3I	10	1
es_31JLPPHS2W72HTSMSO0LIZ2BURA3OX	10	1
es_31LM9EDVON5VKMUZUUSVJHJV26QJNV	10	1
es_31LVTDXBL9NMUAARQMLP8G1X1WARLL	10	0
es_31LVTDXBL9NMUAARQMLP8G1X2TCRLI	10	0
es_31Q0U3WYDRSZMKM8OY50JK1J80W71V	10	0
es_31QNSG6A5T6HXK6TNJEFYUORGDU87G	10	1
es_31UV0MXWNSPVZM4N8CB9DZ49WBL5I7	10	2
es_326O153BMKBENUHURZ31QWU9F01ED4	10	0
es_32EYX73OY2MPD0XLZ0DQZ3XGEKEURN	10	1
es_32KTQ2V7RFS0WSWQWHMIH8GS19NM9I	10	2
es_32KTQ2V7RFS0WSWQWHMIH8GSU9M9MX	10	2
es_32M8BPYGAVZTFJT7P8U0HWVYIFDIG2	10	2
es_32RIADZISUH2XH3JZJMDC94I07D4SX	10	1
es_32RIADZISUH2XH3JZJMDC94I08B4SX	10	1
