,id,text,prompt,score
0,en_cw_000331,1. Use light weight plastic.\n 2. Make a hole in plastic to hang.,2,0
1,en_cw_000332,"based on the data in the table, it can be concluded that the samples A and B stretched (A 2 cm, B 1 cm), the sample C shrunk, and the sample D remained unchanged.",2,0
2,en_cw_000333,Conclusions:\n Different polymer plastics have different stretchability\n Plastic sample A has the least amount of stretchability compared to the other polymer\n plastics. \n Plastic sample B has more stretchability than the other polymer plastics. \n \n Describe two ways the student could have improved the experimental design and/or validity of the results\n Indicate how many weights were added to the clamps\n Provide the before and after measurements for length,2,3
3,en_cw_000334,"Take the plastic and put a piece on one side while the other one is firm. After 5 minutes, you can see the stretching of the material.\n Different plastics vary exponentially.",2,0
4,en_cw_000335,The amount of weight added to the types\n The initial length of the types\n The amount of tape put on each type,2,2
5,en_cw_000336,a. Material D was the more stretchable and material A stretched more on the second trial\n b. They could have performed 3 trials in total and then calculate an average,2,1
6,en_cw_000337,"first two samples have bigger length, sample c have some shortage and sample d stay same length.\n You must same conditions for every sample, and watch exactly that weight is same for every sample.",2,0
7,en_cw_000338,"at first glance, according to the results, the first sample is more elastic. he was able to improve the results by adding equal weights to each sample and using samples of the same length",2,2
8,en_cw_000339,"UNA is the most elastic polymer of all in the experiment, the RE did not see any variation",2,0
9,en_cw_000340,"take 3 types of plastic one more flexible than another, each plastic will be put to hold the same weight, after 1 elapsed one day the weight is removed and you see that plastic stretched more and which stretched less",2,0
10,en_cw_000341,"Conclusion: There is minor difference after stretching plastic.\n 1. To improve the result student should increase time period of experiment, e.g instead of 5 minutes 1 hours. \n 2. to validate results student should repeat same procedure more than 2 times.",2,2
11,en_cw_000342,"а.Different types of plastic stretch unequally\n в. 1)Plastic needed with the same length, width and thickness\n 2)Need the same temperature of plastic and the environment",2,2
12,en_cw_000343,"a. The plastics have varying levels of stretch/elasticity. From least stretch to most: A, C, D, B.\n b. Does not state if the width or thickness of plastic was measured, these would need to be uniform across the plastic types for valid conclusions to be drawn.",2,2
13,en_cw_000344,the whole procedure is perfect,2,0
14,en_cw_000345,"Conclusion: plastic is a malleable material, is deformed with the application of efforts. The student was able to leave more time the weights placed to the sample and could also use a source of heat to better visualize the process.",2,0
15,en_cw_000346,take the mass of each weight to know the resistance of the materia\n take the data of plastic fracture,2,0
