id	prompt	score
en_002788	2	1
en_002789	2	3
en_002790	2	1
en_002791	2	1
en_002792	2	3
en_002793	2	2
en_002794	2	1
en_002795	2	2
en_002796	2	2
en_002797	2	3
en_002798	2	3
en_002799	2	1
en_002800	2	3
en_002801	2	3
en_002802	2	1
en_002803	2	3
en_002804	2	2
en_002805	2	0
en_002806	2	1
en_002807	2	3
en_002808	2	1
en_002809	2	0
en_002810	2	1
en_002811	2	3
en_002812	2	1
en_002813	2	1
en_002814	2	3
en_002815	2	2
en_002816	2	1
en_002817	2	3
en_002818	2	1
en_002819	2	2
en_002820	2	3
en_002821	2	3
en_002822	2	2
en_002823	2	2
en_002824	2	0
en_002825	2	2
en_002826	2	0
en_002827	2	2
en_002828	2	0
en_002829	2	2
en_002830	2	1
en_002831	2	1
en_002832	2	1
en_002833	2	2
en_002834	2	0
en_002835	2	1
en_002836	2	2
en_002837	2	1
en_002838	2	2
en_002839	2	1
en_002840	2	2
en_002841	2	2
en_002842	2	1
en_002843	2	0
en_002844	2	1
en_002845	2	1
en_002846	2	2
en_002847	2	1
en_002848	2	2
en_002849	2	3
en_002850	2	0
en_002851	2	1
en_002852	2	3
en_002853	2	3
en_002854	2	2
en_002855	2	0
en_002856	2	2
en_002857	2	3
en_002858	2	2
en_002859	2	3
en_002860	2	2
en_002861	2	2
en_002862	2	2
en_002863	2	2
en_002864	2	1
en_002865	2	1
en_002866	2	2
en_002867	2	1
en_002868	2	2
en_002869	2	0
en_002870	2	1
en_002871	2	1
en_002872	2	1
en_002873	2	2
en_002874	2	3
en_002875	2	1
en_002876	2	1
en_002877	2	1
en_002878	2	2
en_002879	2	2
en_002880	2	1
en_002881	2	3
en_002882	2	2
en_002883	2	2
en_002884	2	2
en_002885	2	3
en_002886	2	1
en_002887	2	1
en_002888	2	2
en_002889	2	3
en_002890	2	2
en_002891	2	2
en_002892	2	1
en_002893	2	0
en_002894	2	2
en_002895	2	1
en_002896	2	3
en_002897	2	2
en_002898	2	2
en_002899	2	1
en_002900	2	1
en_002901	2	2
en_002902	2	2
en_002903	2	2
en_002904	2	2
en_002905	2	3
en_002906	2	0
en_002907	2	1
en_002908	2	2
en_002909	2	2
en_002910	2	1
en_002911	2	2
en_002912	2	3
en_002913	2	1
en_002914	2	3
en_002915	2	0
en_002916	2	2
en_002917	2	1
en_002918	2	3
en_002919	2	1
en_002920	2	0
en_002921	2	1
en_002922	2	3
en_002923	2	2
en_002924	2	3
en_002925	2	2
en_002926	2	2
en_002927	2	2
en_002928	2	3
en_002929	2	1
en_002930	2	2
en_002931	2	1
en_002932	2	1
en_002933	2	1
en_002934	2	2
en_002935	2	2
en_002936	2	2
en_002937	2	2
en_002938	2	1
en_002939	2	2
en_002940	2	2
en_002941	2	1
en_002942	2	1
en_002943	2	3
en_002944	2	1
en_002945	2	2
en_002946	2	3
en_002947	2	3
en_002948	2	3
en_002949	2	3
en_002950	2	3
en_002951	2	2
en_002952	2	2
en_002953	2	2
en_002954	2	3
en_002955	2	1
en_002956	2	1
en_002957	2	2
en_002958	2	1
en_002959	2	2
en_002960	2	3
en_002961	2	1
en_002962	2	3
en_002963	2	3
en_002964	2	1
en_002965	2	2
en_002966	2	3
en_002967	2	3
en_002968	2	0
en_002969	2	3
en_002970	2	1
en_002971	2	1
en_002972	2	0
en_002973	2	1
en_002974	2	3
en_002975	2	2
en_002976	2	2
en_002977	2	2
en_002978	2	2
en_002979	2	2
en_002980	2	3
en_002981	2	3
en_002982	2	2
en_002983	2	2
en_002984	2	3
en_002985	2	2
en_002986	2	3
en_002987	2	2
en_002988	2	1
en_002989	2	3
en_002990	2	2
en_002991	2	3
en_002992	2	2
en_002993	2	0
en_002994	2	1
en_002995	2	1
en_002996	2	2
en_002997	2	3
en_002998	2	2
en_002999	2	2
en_003000	2	0
en_003001	2	3
en_003002	2	3
en_003003	2	1
en_003004	2	1
en_003005	2	1
en_003006	2	1
