,ItemId,PromptId,Score1,AnswerText
1870,1_1871,1,0,You would also need to.
357,1_358,1,0,To me I think that this experiment will need to tell what you have to repeat in the bottle and give more examples about what they are doing to make this experiment working.
1954,1_1955,1,0,1.You would need to measure the starting mass. ^p 2.You would need to measure the ending mass. ^p 3.You would need to measure the difference between the starting and ending mass.
202,1_203,1,0,"I don't know what replicate means, so I don't know how to anser this question"
1255,1_1256,1,0,We would need to know the time between the starting point and the end point.
117,1_118,1,0,Your going to need how much is there in total.
15,1_16,1,0,I don't know what is going on!
1611,1_1612,1,0,"After I had finish reading the information,I think I would need four types of vinegar but identical and four containers then I would need to determine the mass of each sample."
724,1_725,1,0,"In order to replicate the experiment, you should measure the amount of vinegar added in each container. You should also measure the mass of each sample before adding them to the vinegar. Lastly, you should measure the amount of vinegar left after the material is taken out."
2177,1_2178,1,0,Marble limestone and plastic all absent in the negetives in differences.
1143,1_1144,1,0,"Place a sample of one material into one container and label, ""repeat with remaining samples"",meaning a sample into a sangle container."
1615,1_1616,1,0,"The additional information that you would need is the statement, why were you doing this and were the results right or wrong. Such as this the type of result you were looking for."
1543,1_1544,1,0,"1. Gather materials. ^p 2. Put on apron & goggles. ^p 3. Set up materials. ^p 4. Por vinegar into a identical containers. ^p 5. Put marble, limestone, wood, plastic into their separate containers. ^p 6. Put name on container, wait 24 hours. ^p 7. Rinse the samples with distilled water. ^p 8. Put samples out to dry. ^p 9. Determine the mass & other differences. ^p 10. Clean up materials."
1652,1_1653,1,0,In this experiment you will need to add more information like in the produre like how did you set up the sample to begin off with. Also it never said that the samples were in a container and need to include that in the beginning. But it did  look like a good experiment to do and how they poured vinegar on each sample and let it sit only the Limestone changed the most and the other sample stayed almost the same in the start and end mass.
2148,1_2149,1,0,In order to replicate this expierement I would need to have all the materials that are found in this procedure. I would then gather all of my materials and follow the procedure and also record my data down on a piece of paper. In expierements I always like to bring a watch for timing the samples just in case there are none around.
2026,1_2027,1,0,You will need to write a hypothesis on the experiment and a conclusion on what happened and a graph on the changes that the experiment went through.
2151,1_2152,1,0,"In order to replicate this experiment I would need the mass of the containers, a description of the container, and a control in order to maximize the accuracy of the data."
1982,1_1983,1,0,"They would need to explain how their experiment went. So they used different objects and put them in containers with vinegar to soc. Determine the mass of each. So this is how they should explain their experiment. ""We've tested four objects in vinegar and the four objects were a marble, limestone, wood and plastic. The mass of each were marble 4.8, limestone 10.4, wood 11.6 and plastic 7.2. When we put them in the vinegar and took them out and set them down for 30 minutes we saw that the mass of the marble went down to 9.4, limestone 9.1, wood 11.2, and plastic 7.1. So the mass of the marble went down -0.4, limestone -1.3, wood 0.0, and plastic -0.1."
1354,1_1355,1,0,"Some information you will need in order to replicate the experiment is things such as your hypothesis problem, results, conclusion, etc. You will also need to show how you got your results and conclusion."
333,1_334,1,0,"3 pieces of information I would include to replicate ths procedure would be to pour less vinegar in each container, let samples sit and dry for 30 min and leave samples for 20 hours. I choose that to see if anything different would happen to the mass then what happened to it the first time they tried this experiment."
1309,1_1310,1,0,The additional information we would need to replicate the experiment would be the conculsion.
713,1_714,1,0,This experiment should include an explanation of why students were doing this experiment. They should tell us why the mass decrease and why the wood keep the same mass.
413,1_414,1,0,They need to repeat every step that already preformed.
1323,1_1324,1,0,"Some additional information would be make sure the sample is dry to do anything else. Next, make sure you get all the data and make a chart."
1069,1_1070,1,0,"Those pieces of information you need to replicate this experiment are from the samples in 24 hours. Pouring vinegar into four seperate but identical containers, and to allow the samples be dry, you also need to determine the mass of the samples first."
371,1_372,1,0,"You need to repeat the the experiment 2 more time, record all data then compare them to see of samples have any change. Also backround information is important to any experiment."
200,1_201,1,0,"You would need more marble, limestone, wood and plastic."
395,1_396,1,0,"To replicate this experiment you will need the following vingar, to your in each identical container, you will need to let the sample sit and dry for30 minutes. After 24 hour remove the samples from the containers and rinse each sample with distilled water."
224,1_225,1,0,I
1796,1_1797,1,0,"I think you will need a bottle of vinegar,a container cabels, temer, paper, a manole, a cemenstone, wood and a plastic. You will  need.."
2050,1_2051,1,0,"This is a good procedure to follow, only it lacks of some problems towards the end, which cause the experiment to completly go wrong, because of the fact that you will be unable to finish the investigation. I myself would not change but rather much could a step or two by the procedure, for example it is necessary to comprare all the answers with one another by subtracting and seeing each others differences, and 8. Depend exparament al least three times to see if it is valid."
309,1_310,1,0,You will need to place the sample in one container and repeat with the remaining samples in a single container. After the 24 hours is over remove samples and rinse. Have the samples sit and dry for 30 min.
1347,1_1348,1,0,"1 Let the samples sit to dry for different amount of time. ^p 2 Try different containers, not identical , different size/shapes. ^p 3 Try more than  one type of acid, besides vinegar. ^p 4 Let samples sit larger than 24 hours."
1304,1_1305,1,0,"You would need vinegar, a sample material to put into a measurement and label them, also you would need four identical containers. This is to replicate the starting mass, ending mass and difference in mass. That is what you would need to replicate this experiment."
640,1_641,1,0,I would need to know what was happening to the samples during that 24 hrs. 2 I would need to know why they chose the four samples that they did. 3. I would also need gloves and a mask to protect myself.
620,1_621,1,0,"In order to replicate this experiment, you would need to know what the students are looking for? Why each steps of the procedure is being done? Why those  four samples were chosen and if there should be more trials or repettions , in order to create more accurate data."
425,1_426,1,0,"It doesn't tell you what they are trying to figure out with the investigation. So we would be able to do the work, but I would know what we did if for after."
751,1_752,1,0,"Take an hypothesis of what masses they'll have, analyze your results and make a conclusion to the problem."
782,1_783,1,0,On the groups procedure some additional information I would need in order to replicate this experiment would be is what sample and you start first what happens if nothings happens to the sample in 24 hours and how do you find the difference in mass.
1539,1_1540,1,0,"In order for me to replicate this group's procedure, I would need to have the problem their hypothesis. Also the independent and dependent variables."
621,1_622,1,0,"The additional information you will need to replicate this experiment is how much more of the needed samples you need, how much time you will need to go through with the procedure and what your starting mass needs to be."
