,Unnamed: 0.1,Unnamed: 0,id,text,prompt,score
0,280,280,zh_010281,(_1) Le pH de l'acide (2) La forme volumique de l'échantillon et la zone de contact de l'acide (3) Sont-ils influencés par des facteurs externes,1,3
1,95,95,zh_010096,(_1) La teneur en vinaigre dans chaque récipient (2) La surface de contact de chaque échantillon et de chaque vinaigre (3) La masse de séchage de chaque échantillon ou non (4) La densité de chaque échantillon,1,3
2,21,21,zh_010022,(_1) Mesurer si le marbre est attaché à d'autres substances (2) si le vinaigre réagit complètement avec le réactif (3) Mesurer s'il y a des écarts,1,0
3,258,258,zh_010259,(_1) L'échantillon a réagi avec des quantités appropriées de produits de la pluie acide (2) Les composants de l'air ont été affectés par l'essai (3) Le changement de pH de la pluie acide après la réaction.,1,0
4,248,248,zh_010249,(_1) mesurer la qualité de 4 échantillons différents (2) verser du vinaigre dans 4 conteneurs identiques séparément (3) mesurer l'impact de la pluie acide sur différents matériaux,1,0
5,23,23,zh_010024,Les échantillons continuent à s’oxyder après l’expérience.,1,0
6,143,143,zh_010144,(_1) La même concentration d'acide acétique réagit (2) la même concentration d'acide acétique affecte le même type de matériau de la même qualité,1,0
7,291,291,zh_010292,(_1) S'il y a une réduction des pertes d'échantillons lors du brossage (2) S'il y a une perte de pierre pendant le temps de séchage (3) Le pH acide est conforme aux normes de pH de la pluie acide,1,0
8,292,292,zh_010293,(_1) Sélectionner des matières de marbre de différentes tailles Pièces de pierre de bois Expérimentation répétée en plastique (2) Expérimentation répétée avec des matières de la même qualité (3) Expérimentation répétée avec des concentrations différentes de vinaigre,1,0
9,86,86,zh_010087,"(_1) obtenir une feuille de papier blanc sans saleté (2) calculer la qualité du papier (3) gouter du vinaigre sur le papier, 24h après mesurer la qualité",1,0
10,93,93,zh_010094,(_1) Le rôle du vinaigre (2) La forme initiale (3) Le rôle de l'eau de distillation (4) L'effet de l'eau de distillation sur le matériau (5) La réaction du matériau avec le vinaigre,1,0
11,128,128,zh_010129,(_1) Quantité de pluie acide (2) degré de corrosion du matériau (3) temps de corrosion de la pluie acide,1,1
12,234,234,zh_010235,(_1) Mesurer la quantité de vinaigre ajoutée à chaque récipient (2) pour que l'échantillon ne sèche pas librement pour le nettoyage (3) Mesurer les modifications du matériau dans le vinaigre,1,1
13,175,175,zh_010176,(_1) Plusieurs matériaux à choisir (2) Les impuretés à ajouter au vinaigre (3) Les alcalinités acides du vinaigre,1,1
14,19,19,zh_010020,(_1) la taille du pH de l'acide (2) l'état de l'échantillon (3) la densité de l'échantillon,1,1
15,268,268,zh_010269,(_1) le volume de l'acide dans quatre conteneurs (2) le temps exact auquel chaque échantillon a été retiré (3) le temps de distillation et de lavage,1,2
16,230,230,zh_010231,(_1) Concentration de vinaigre (2) Proportion des principaux ingrédients de l'échantillon (3) Matériel facile,1,2
17,77,77,zh_010078,pH du vinaigre La qualité du vinaigre dans le récipient La concentration du vinaigre dans le récipient,1,2
18,32,32,zh_010033,(_1) Quatre échantillons différents ont une taille de volume différente (2) La même concentration de la teneur en acide dans les quatre conteneurs (3) Le conteneur est scellé,1,2
